range_start,range_end,AS_number,country_code,AS_description
111.23.38.0,111.23.44.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.45.0,111.23.58.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.59.0,111.23.72.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.73.0,111.23.82.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.83.0,111.23.101.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.102.0,111.23.118.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.119.0,111.23.126.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.127.0,111.23.128.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.129.0,111.23.130.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.131.0,111.23.132.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.133.0,111.23.141.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.142.0,111.23.180.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.181.0,111.23.182.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.183.0,111.23.209.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.210.0,111.23.227.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.228.0,111.23.229.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.23.230.0,111.23.241.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.23.242.0,111.23.255.255,56047,CN,CMNET-HUNAN-AP China Mobile communications corporation
111.24.0.0,111.24.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.25.0.0,111.25.3.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.25.4.0,111.25.7.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.25.8.0,111.25.11.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.25.12.0,111.25.87.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.25.88.0,111.25.240.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.25.241.0,111.25.251.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.25.252.0,111.26.10.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.26.11.0,111.26.11.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.26.12.0,111.26.85.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.26.86.0,111.26.108.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.26.109.0,111.26.154.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.26.155.0,111.26.157.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.26.158.0,111.26.175.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
